category,name,message,status,severity,type,email_subject,is_audit,send_to_syslog
account,AccountExpired,"Your trial ended on ${ExpiryDate} and your account will be on hold for ${NumHoldDays} days from that date.  During the hold period, all backup jobs will be paused and no further changes can be made.  Your POC data will be deleted after ${HoldEndDate}.  To continue using the product, contact your Account Executive to purchase a license.",Success,Critical,Diagnostic,Your POC has expired and your RSC account is on hold,No,No
account,AccountExpiryWarning,"Hello, We want to remind you that your account is expiring in ${noOfDaysBeforeHold} days and that your existing data will not be available after that time. Act now to extend your features or buy additional features! Retain your existing data and continue to enjoy all the benefits of Rubrik data protection. For information, please contact our friendly sales professionals at sales@rubrik.com. Thank you, Rubrik",Success,Warning,Diagnostic,Your account is expiring soon!,No,No
account,AccountMoveCompleted,RSC account move to the new region has been completed. No more downtime should be observed.,Success,Critical,Diagnostic,RSC account move to a separate region completed,No,No
account,AccountMoveInitiated,"Rubrik started an account move operation, which will take a few hours to complete.",Success,Critical,Diagnostic,RSC account move beginning to a separate region,No,No
rbac,AccountOwnerAdded,Polaris account ownership assigned to ${user} by ${invokingUser}. Current owners are ${owners}.,Success,Warning,Ownership,Polaris account owner added.,No,No
rbac,AccountOwnerRemoved,Polaris account ownership revoked from ${user} by ${invokingUser}. Current owners are ${owners}.,Success,Warning,Ownership,Polaris account owner removed.,No,No
authz,AccountOwnershipAssigned,${userEmail} assigned account ownership to ${targetUser}.,Success,Info,AccessManagement,Account Ownership Updated,Yes,Yes
authz,AccountOwnershipRevoked,${userEmail} revoked account ownership from ${targetUser}.,Success,Info,AccessManagement,Account Ownership Updated,Yes,Yes
accountmanagement,AccountTagAdded,${username} added the tag(s) ${tagName}.,Success,Info,Configuration,n/a,Yes,Yes
accountmanagement,AccountTagRemoved,${username} removed the tag(s) ${tagName}.,Success,Info,Configuration,n/a,Yes,Yes
active_directory,ActiveDirectoryForestOtherDcsPhaseFailed,${phaseName} failed for Active Directory forest domain controllers other than root domain controller due to critical error ${reason}.,Failure,Warning,Recovery,n/a,No,No
active_directory,ActiveDirectoryForestOtherDcsPhaseStarted,${phaseName} started for Active Directory forest domain controllers other than root domain controller.,Success,Info,Recovery,n/a,No,No
active_directory,ActiveDirectoryForestOtherDcsPhaseSuccess,${phaseName} succeeded for Active Directory forest domain controllers other than root domain controller.,Success,Info,Recovery,n/a,No,No
active_directory,ActiveDirectoryForestRestoreCanceled,Canceled Active Directory forest restore for forest ${forestName}.,Canceled,Info,Recovery,Active Directory forest restore canceled,No,No
active_directory,ActiveDirectoryForestRestoreFailed,Active Directory forest restore failed for forest ${forestName} due to critical error ${reason}.,Failure,Critical,Recovery,Failed to restore Active Directory forest ${forestName},No,No
